# Archivo de exportación de mapa de colores generado por QGIS
INTERPOLATION:INTERPOLATED
0,0,97,6,255,8.000000
50,34,118,5,255,50
75,68,140,4,255,75
100,102,162,3,255,100
112,136,184,2,255,112
120,162,194,0,255,120
125,170,205,1,255,125
150,204,227,1,255,150
200,238,249,0,255,200
275,243,230,1,255,275
300,238,197,4,255,300
400,232,164,6,255,400
450,227,131,8,255,450
500,222,99,11,255,500
550,217,66,13,255,550
600,212,33,15,255,600
650,196,15,15,255,650
700,168,13,13,255,700
1110,141,11,11,255,1110
1400,113,8,8,255,1400
1811.03,85,6,6,255,1811
1905.93,58,4,4,255,1905
2000.83,30,1,1,255,2000
2095.72,18,8,8,255,2095
2190.62,52,43,43,255,2190
2285.52,86,79,79,255,2285
2380.41,119,114,114,255,2380
2475.31,153,149,149,255,2475
2570.21,187,184,184,255,2570
2665.1,221,219,219,255,2665
2760,255,255,255,255,2760
